Main Category,Sub Category,Child Category,Product SKU Code,Product Name,Product Dimensions,Image link,Meta Title,Keywords,Package Contents,Unit of Measurement (UOM),Promotional Description,Short Description,Product Usage,Item Type,Material,Color,Finish,Specialty,Wash care,Shipping Information,Disclaimer,Return Policy,Seller,Brand,Available Inventory,Complete Product Description ,"Product Weight
(Gms)","Packaged Weight
(Gms)",Length (cm),Height (cm),Width (cm),Dispatch Time,Delivery Time,Delivery Area,Maximum Retail Price (MRP),Web Selling Price (WSP),Wholesale Price at Jaipur (FOB Price)
Wall clock,Handicrafts,Wood Craft,HCFPK104,Antique Handcrafted Gemstone Wooden Wall Clock 104,LxBxH: 8x1x8 inches,HCFPK104,Antique Handcrafted Gemstone Wooden Wall Clock Decorative Clock,"Wall Clock, Brass Wall Clock, Clock Gift, Clock Item, Decorative Clock, Pure Brass Clock, Brass Gift, Gemstone Clock",1 Wall Clock,Pc.,Free Shipping !!,This nand carved real Gemstone wall clock is made of light weight termite proof wood. There is a square shaped clock surrounded with decorative wooden design. Pure brass jali border adorns the wooden outer body. The space between the clock and the border frame is filled with real Gemstones of 4 different colors. The clock is fitted with good quality movement. ,It can be wall hung as well as kept on the table. ,Handicraft,Wood,Brown,Glossy,Gemstone Wall Clock,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This wooden carved real Gemstone wall clock is made of light weight termite proof wood. There is a square shaped clock surrounded with decorative wooden design. Pure brass jali border adorns the wooden outer body. The space between the clock and the border frame is filled with real Gemstones of 4 different colors. The clock is fitted with good quality movement. 

Product Usage:
It can be wall hung as well as kept on the table. 

Specifications:

Product Dimensions: LxBxH: 8x1x8 inches
Item Type: Handicraft
Color: Brown
Material: Wood
Finish: Glossy
Specialty: Gemstone Wall Clock

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",450,600,21,7,20,Within 2 Working Days,7 Working Days,All India,1399,795,280
Wooden keyholder,Handicrafts,Metal,HCFPK116,Jaipuri Oxidized 5 Key Holder in White Metal 116,LxBxH: 5x1x8 inches,HCFPK116,Jaipuri Oxidized Ethnic Beautiful Useful Key Holder in White Metal,"Key Holder, White Metaled Key Holder, Handicraft Key Holder, Metal Gift, Metal Item, Metal Decorative Item, Decorative Item, Gift Item",1 Key Holder,Pc.,Free Shipping !!,This Handcrafted lock shaped Keychain Holder is made of white metal. The gift piece has been prepared by the creative artisans of Jaipur.,It is an ideal utility item for your house to hold keys in a stylish way. It is also an ideal gift for your friends and relatives.,Handicraft,White Metal,Silver,Glossy,Metal Keyholder,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This Handcrafted lock shaped Keychain Holder is made of white metal. The gift piece has been prepared by the creative artisans of Jaipur.

Product Usage:
It is an ideal utility item for your house to hold keys in a stylish way. It is also an ideal gift for your friends and relatives.

Specifications:

Product Dimensions: LxBxH: 5x1x8 inches
Item Type: Handicraft
Color: Silver
Material: White Metal
Finish: Glossy
Specialty: Metal Keyholder

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",128,180,21,4,14,Within 2 Working Days,7 Working Days,All India,499,299,90
Spirtual Art,Handicrafts,Metal,HCFPK118,Oxidized White Metal Leaf Ganesha Idol Hanging 118,LxBxH: 7.5x1x6 inches,HCFPK118,Rajasthani Handicraft Oxidized White Metal Leaf Ganesha Idol Hanging,"Ganesha, Metal Ganesha, Leaf Ganesh Hanging, Ganesh Decorative Item, Metal Decorative Item, Wall Hanging, Gift Item, Handicraft Item, Handicraft Gift",1 Idol,Pc.,Free Shipping !!,This handcrafted antique idol of Lord Ganesha on leaf is made of pure oxidized white metal. The idol is polished to give it an alluring antique look. It is also an ideal gift for your friends and relatives. The gift piece has been prepared by the traditional artisans of Jaipur.,This ganesha hanging is an ideal decorative piece for your home. It is an exclusive show piece for your drawing room; sure to be admired by your guests.,Handicraft,White Metal,Silver,Glossy,White Metal in antique look,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This handcrafted antique idol of Lord Ganesha on leaf is made of pure oxidized white metal. The idol is polished to give it an alluring antique look. It is also an ideal gift for your friends and relatives. The gift piece has been prepared by the traditional artisans of Jaipur.

Product Usage:
This ganesha hanging is an ideal decorative piece for your home. It is an exclusive show piece for your drawing room; sure to be admired by your guests.

Specifications:

Product Dimensions: LxBxH: 7.5x1x6 inches
Item Type: Handicraft
Color: Silver
Material: White Metal
Finish: Glossy
Specialty: White Metal in antique look

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",220,300,20,3,18,Within 2 Working Days,7 Working Days,All India,899,498,145
Spirtual Art,Handicrafts,Metal,HCFPK124,Antique Lord Ram Darbar Idol in White Metal 124,LxBxH: 6x1x10 inches,HCFPK124,Antique Rajasthani Spiritual Lord Ram Darbar Idol In Fine White Metal,"Lord Ram Darbar Idol, Ram Darbar, White Metaled Ram Darbar, Ram Decorative Item, White Metal Decorative Item, Gift Item, Handicraft Item, Handicraft Gift",1 Idol,Pc.,Free Shipping !!,This handcrafted antique idol of Lord Ram Darbar is made of white metal. The Statue is polished silver to give it an alluring antique look. The gift piece has been prepared by the creative artisans of Jaipur.,It is an exclusive show piece for your drawing room; sure to be admired by your guests. It is also an ideal gift for your friends and relatives.,Handicraft,White Metal,Silver,Glossy,White Metal Ram Darbar,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This handcrafted antique idol of Lord Ram Darbar is made of white metal. The Statue is polished silver to give it an alluring antique look. The gift piece has been prepared by the creative artisans of Jaipur.

Product Usage:
It is an exclusive show piece for your drawing room; sure to be admired by your guests. It is also an ideal gift for your friends and relatives.

Specifications:

Product Dimensions: LxBxH: 6x1x10 inches
Item Type: Handicraft
Color: Silver
Material: White Metal
Finish: Glossy
Specialty: White Metal Ram Darbar

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",415,500,24,4,20,Within 2 Working Days,7 Working Days,All India,1199,689,295
Wooden keyholder,Handicrafts,Metal,HCFPK149,Meenakari Artwork 4 Key Stand in White Metal 149,LxBxH: 5x1x6 inches,HCFPK149,Traditional Meenakari Work Adorable Useful Key Stand in White Metal,"Key Holder, White Metal Key Holder, Decorative Key Holder, Decorative Item, Gift Item, Utility Gift, Key Holder Gift, Meenakari Worked Key Holder, Handicraft Items Online, Beautiful Handicrafts",1 Key Holder,Pc.,Free Shipping !!,This Handcrafted Keychain Holder is made of white metal and adorned with meenakari peacock Painting. The gift piece has been prepared by the traditional creative artisans of Jaipur. ,It is an ideal utility item for your house to hold keys. It is also an ideal gift for your friends and relatives.,Handicraft,Brass,Gold,Glossy,Metal Keyholder,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This Handcrafted Keychain Holder is made of white metal and adorned with meenakari peacock Painting. The gift piece has been prepared by the traditional creative artisans of Jaipur. 

Product Usage:
It is an ideal utility item for your house to hold keys. It is also an ideal gift for your friends and relatives.

Specifications

Product Dimensions: LxBxH: 5x1x6 inches
Item Type: Handicraft
Color: Silver
Material: White Metal
Finish: Glossy
Specialty: Metal Keyholder
Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",130,200,18,7,14,Within 2 Working Days,7 Working Days,All India,699,389,155
Wooden keyholder,Handicrafts,Wood Craft,HCFPK153,Meenakari Work Camel Procession 3 Key Stand 153,LxBxH: 14x1x10 inches,HCFPK153,Traditional Meenakari Work Handicraft Camel Procession Key Stand,"Key Holder, Multicolor Wood Key Holder, Decorative Key Holder, Decorative Item, Gift Item, Utility Gift, Key Holder Gift, Meenakari Worked Key Holder, Handicraft Items Online, Beautiful Handicrafts",1 Key Holder,Pc.,Free Shipping !!,This Handcrafted Keychain Holder is made of white Wood and adorned with meenakari Camel Painting. The gift piece has been prepared by the creative artisans of Jaipur. ,It is an ideal utility item for your house to hold keys. It is also an ideal gift for your friends and relatives.,Handicraft,Wood,Multi Color,Matte,Wood Camel Keyholder,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This Handcrafted Keychain Holder is made of white Wood and adorned with meenakari Camel Painting. The gift piece has been prepared by the creative artisans of Jaipur. 

Product Usage:
It is an ideal utility item for your house to hold keys. It is also an ideal gift for your friends and relatives.

Specifications

Product Dimensions: LxBxH: 14x1x10 inches
Item Type: Handicraft
Color: Multicolor
Material: Wood
Finish: Glossy
Specialty: Wood Camel Keyholder
Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",350,540,28,4,38,Within 2 Working Days,7 Working Days,All India,1099,799,375
Wall hangings,Handicrafts,Metal,HCFPK174,Jaipuri Lady Bani Thani Wooden Jharokha Gift 174,LxBxH: 11x1x19 inches,HCFPK174,Jaipuri Lady Bani Thani Wooden Jharokha Gift Painted Jharokha Gift,"Wooden Jharokha, Jharokha Gift, Jharokha, Home Decor Item, Jharokha item, Jharokha gift, Handicraft Jharokha, Decorative Jharokha, Decorative Gift, Handicraft Gift",1 Wooden Photo Frame,Pc.,Free Shipping !!,"This artistically designed Jharokha photo frame is made in termite proof wood and has beautiful etchings and carvings. It carries the photo poster of Rajasthani lady popularly known as Bani-Thani. You can capture the lovely memories of your life in this antique photo frame. A beautiful Rajasthani image fixed in this photo frame adds charm to its beauty. It is a pretty handcrafted, antique finish pineapple design wooden Jharokha. Our wooden artifacts stand a class apart in quality, design and execution. Each one can be called a masterpiece with the beauty it embraces in its carvings. Buy it to believe it !.. ","It can also be used as a mirror, photo frame or wall hanging. It is an exclusive showpiece for your drawing room; sure to be admired by your guest.",Handicraft,Wood,Brown,Glossy/Matte,Termite proof wood,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This artistically designed Jharokha photo frame is made in termite proof wood and has beautiful etchings and carvings. It carries the photo poster of Rajasthani lady popularly known as Bani-Thani. You can capture the lovely memories of your life in this antique photo frame. A beautiful Rajasthani image fixed in this photo frame adds charm to its beauty. It is a pretty handcrafted, antique finish pineapple design wooden Jharokha. Our wooden artifacts stand a class apart in quality, design and execution. Each one can be called a masterpiece with the beauty it embraces in its carvings. Buy it to believe it !.. 

Product Usage:
It can also be used as a mirror, photo frame or wall hanging. It is an exclusive showpiece for your drawing room; sure to be admired by your guest.

Specifications

Product Dimensions: LxBxH: 11x1x19 inches
Item Type: Handicraft
Color: Brown
Material: Wood
Finish: Matte

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart

",1500,1800,51,8,35,Within 2 Working Days,7 Working Days,All India,1999,1199,475
Wall clock,Handicrafts,Metal,HCFPK187,"Analog 20.3 cm Dia Wall Clock(Brown, With Glass)",LxBxH:  8x4x11,HCFPK187,Analog 20.3 cm Dia Wall Clock,"Brass Handicraft, Pure Brass Decorative Item, Pure Brass Gift, Brass Item, Decorative Handicraft, Handmade Item, Corporate Gift, Table Item, Office Stationary, Handmade Gift Item",1 Wall hanging Clock,Pc.,Free Shipping !!,Feel the British era with this antique finish royal and stylish double sided hanging wall clock from the house of Polkakart India. These kind of wall clocks are referred as station clocks as they have two machines and are double sided They are generally hanged in galleries or long room for both side view. It truly has style and efficiency rolled in one Double side clock comes with Roman Numbers Dials.,"It is an exclusive showpiece for your drawing room, sure to be admired by your guests.",Handicraft,Metal,Copper,Glossy/Matte,Analog 20.3 cm Dia Wall Clock,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"Feel the British era with this antique finish royal and stylish double sided hanging wall clock from the house of Polkakart India. These kind of wall clocks are referred as station clocks as they have two machines and are double sided They are generally hanged in galleries or long room for both side view. It truly has style and efficiency rolled in one Double side clock comes with Roman Numbers Dials.

Product Usage:
It is an exclusive showpiece for your drawing room, sure to be admired by your guests.

Specifications:

Product Dimensions: LxB: 20.3x11 inches
Item Type: Handicraft
Color: Brass
Material: Brass
Weight: 1280 gm

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart
",1280,1700,28,16,24,Within 2 Working Days,7 Working Days,All India,2999,1899,1150
Wall hangings,Handicrafts,wood,HCFPK227,Wooden Crafted Unique Shubh Labh Door Hangings,LxBxH: 4x0.25x6 inches,HCFPK227,Rajasthani Kundan Wooden Crafted Unique Shubh Labh Cute Door Hangings,"Kundan Door Hanging, Shubh Labh Door Hanging, door Hanging, Hut Shape Door Hanging, Wall Hanging, Colourful Door Hanging, Multicolour wall Hanging, Handicraft Items Online, Beautiful Handicrafts, Handicraft Items",2 Door Hangings,Pc.,Free Shipping !!,This Beautiful handcrafted shubh labh door hanging is made up of wood and decorated with kundan meenakari work. The door hanging is an ideal decorative piece for your home. The gift piece has been prepared by the creative artisans of Jaipur.,"It is an exclusive showpiece for your drawing room, sure to be admired by your guests.",Handicraft,Wood,Multicolor,Glossy/Matte,Kundan Meenakari Work,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This Beautiful handcrafted shubh labh door hanging is made up of wood and decorated with kundan meenakari work. The door hanging is an ideal decorative piece for your home. The gift piece has been prepared by the creative artisans of Jaipur.

Product Usage:
Use it to enhance the beauty of your doors. It is also an ideal gift for your friends and relatives.

Specifications:

Product Dimensions: LxBxH:4x0.25x6 inches
Item Type: Handicraft
Color: Multicolour
Material: Wood
Weight: 234 gm

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart
",235,280,5,18,3,Within 2 Working Days,7 Working Days,All India,899,498,250
Wooden keyholder,Handicrafts,wood,HCFPK241,Minakari Art Work Oxidized White Metal 5 Key Stand ,LxBxH:12x1x6.5 inches,HCFPK241,Jaipuri Meenakari Work Fashionable Unique Key Stand in White Metal,"Key Holder, Wooden Key Holder, Handicraft Key Holder, Wooden Gift, Wooden Item, Wooden Decorative Item, Decorative Item, Gift Item, Dhola Maru Hand Painting, Handicraft Items Online",1 Key Holder,Pc.,Free Shipping !!,This Handcrafted Keychain Holder is made of white metal and adorned with meenakari royal Procession Painting. The gift piece has been prepared by the creative artisans of Jaipur. ,"It is an exclusive showpiece for your drawing room, sure to be admired by your guests.",Handicraft,Wood,Multicolor,Glossy/Matte,Marriage Procession Painting,NA,Free Home Delivery. Price includes all type of taxes.,"The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.","No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.",Polkakart,Polkakart,20,"This Handcrafted Keychain Holder is made of wood and white metal. Adorned with colourful Marriage Procession Painting. The gift piece has been prepared by the creative artisans of Jaipur.

Product Usage:
It is an ideal utility item for your house to hold keys in a beautiful way. It is also an ideal gift for your friends and relatives.

Specifications:

Product Dimensions: LxBxH:12x1x6.5 inches
Item Type: Handicraft
Color: Brown
Material: Wood
Weight: 377 gm

Disclaimer:
The item being handmade; the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Polkakart
",360,420,33,18,5,Within 2 Working Days,7 Working Days,All India,899,498,200
